Serial,Random Number
0,0.19665502596067197
1,0.9933002143593606
2,0.7382955780709173
3,0.4902812744743972
4,0.07538779753488145
5,0.03520700972561819
6,0.8387988406762117
7,0.8011311152625141
8,0.7960043027937677
9,0.3728312100966572
10,0.1683039270137867
11,0.15655039715377095
12,0.7236761181769129
13,0.9365653868073748
14,0.36978011194470917
15,0.6156176943011021
16,0.9906373975435071
17,0.6730640329704014
18,0.012197233750071201
19,0.5513316449012595
20,0.31682918224816303
21,0.5563044047345858
22,0.1423067150989793
23,0.8042032821136301
24,0.38249739761208235
25,0.15594472419026228
26,0.741751251671584
27,0.3983021439035743
28,0.8904361401331133
29,0.023610785786533084
30,0.9558463825114741
31,0.11805441438833197
32,0.7051343251351119
33,0.2883504521620298
34,0.4545822513372766
35,0.8437367998675803
36,0.14716928593110712
37,0.6926999784446445
38,0.24427887366493606
39,0.6855848905110606
40,0.21172651449592872
41,0.7394464321699978
42,0.7258514484318005
43,0.33344387661616726
44,0.14427771545620038
45,0.25555043438277847
46,0.36863652430033544
47,0.644291828899243
48,0.626287367849626
49,0.42880682894422295
50,0.8377745901932387
51,0.17017736191209076
52,0.8494531515083917
53,0.5891615301157928
54,0.12072110522543766
55,0.2866353884028079
56,0.6671045591208073
57,0.42024014851405966
58,0.3634896605886675
59,0.661284933689845
60,0.7675334731930925
61,0.583808443669838
62,0.2233420966804721
63,0.4682808730142378
64,0.4231094653126385
65,0.5251433320756728
66,0.7903603395989639
67,0.6920415807491175
68,0.35399095493686383
69,0.5157431827992969
70,0.022351953365322252
71,0.14728477467508594
72,0.5840808876081922
73,0.14941278594510687
74,0.7147078656628026
75,0.8278164067016117
76,0.3176861692040226
77,0.20503306736921978
78,0.042702714247215834
79,0.9018845265095157
80,0.21901275044351431
81,0.032127433982444775
82,0.5655983641571458
83,0.3927476536299308
84,0.6497646352466395
85,0.8026056544731784
86,0.7598183757088929
87,0.6054635968995629
88,0.17674777739836633
89,0.5174220298323102
90,0.2590230883250413
91,0.7689716690104722
92,0.06546002733494982
93,0.12518177393173469
94,0.8777246505844215
95,0.18513197404964343
96,0.056379369412775215
97,0.3636366583094651
98,0.3082109982567829
99,0.28000170263390334
